PC1,PC2,label
4.202737427,1.333182286,0
4.851741399,1.757823417,0
2.057338024,0.765758037,0
4.315568927,1.954995918,0
4.257539027,2.220705171,0
5.175605328,2.347396937,0
5.646863654,2.256554482,0
6.328055783,2.089968889,0
5.263278784,1.332867516,0
5.886170301,1.557993415,0
6.40861973,2.412211138,0
7.158655302,2.398136138,0
4.196556288,2.077861954,0
4.634146686,1.362394172,0
4.239413593,1.953925138,0
4.856207389,1.614115221,0
4.057639455,1.178643926,0
3.82902166,2.030543393,0
5.066793255,2.685686661,0
5.463574342,2.328985073,0
6.247098693,-1.339977094,1
3.895385666,0.013950323,1
4.017597053,-0.21256224,1
4.552098441,-1.352601735,1
3.895137864,-1.018216277,1
4.485039923,0.342869506,1
3.992541369,-0.332433677,1
5.012127915,-0.04326446,1
5.913602511,-1.263944128,1
5.160430324,-0.901035258,1
2.227821568,-3.038797963,2
3.694434013,-2.098551987,2
3.905556469,-2.366167163,2
3.070975845,-2.475724623,2
3.882030463,-2.484541609,2
3.26671611,-1.999655518,2
5.827826503,-1.932404763,2
3.89460512,-2.144275144,2
3.407954675,-2.351201452,2
2.087633739,-3.897033477,3
3.315397894,-2.882415831,3
2.652246323,-3.128908375,3
2.732627308,-3.560316679,3
4.290208818,-2.34809556,3
2.986421157,-3.239635025,3
2.921853323,-3.529212266,3
3.401288698,-3.852465724,3
2.766165443,-2.743590791,3
-1.614781828,1.538562098,4
1.349474024,2.860519123,4
0.288936332,2.582014939,4
-2.090857708,1.089209203,4
1.772171224,2.424253452,4
-1.077653339,1.623952149,4
0.179412585,2.04241917,4
1.155218962,2.145703381,4
2.100747377,2.77358212,4
1.028078038,1.508805974,4
-1.075578955,2.674794597,4
-3.243407869,1.178872928,4
-2.514511786,2.215347702,4
-3.740995177,1.127581816,4
-2.95345605,1.472644138,4
-4.491978446,0.80113036,4
-2.700907906,1.424962946,4
-2.157656279,1.789530713,4
-1.663648013,1.484759815,4
-1.774233009,2.177093756,4
-4.025044998,1.425716245,4
-6.274249874,0.685026919,4
-2.115769062,2.27926808,4
-4.466766834,1.634959417,4
1.868689818,0.074745145,4
0.485942373,0.616875195,4
-0.008883269,0.390931451,4
-0.833791859,0.620639209,4
0.39034312,0.742505782,4
1.831303704,1.326789108,4
0.777810574,0.718504124,4
1.21030951,0.984319836,4
0.292633056,-0.190550005,4
0.337163639,0.039200988,4
-3.123360501,0.133020395,4
-4.063880816,0.881117853,4
-4.323518109,1.705884174,4
-2.643270704,1.329891441,4
-2.350726616,0.771916201,4
-1.917042704,0.635259897,4
-0.708594274,1.007830485,4
-2.12142769,0.619926336,4
-2.729190509,0.805109385,4
-2.64148226,0.500137291,4
-4.304551061,0.847804063,4
-4.439101952,0.415571694,4
-2.913581824,1.15418413,4
0.758063992,-1.033502296,4
2.03746417,-0.285220455,4
0.390445502,-0.858020765,4
-0.737319861,-1.145661733,4
-0.863175928,-1.075303449,4
-2.798254794,-0.584276356,4
-0.472624086,-1.372714792,4
1.877087032,-0.861631727,4
2.784540191,-0.739260136,4
1.975793119,-0.388365138,4
-3.962867278,-0.500009994,4
-2.898793546,-0.857545488,4
-3.947573143,-0.923153982,4
-2.411709167,-0.717361917,4
-1.977642124,-0.452212526,4
-5.01522321,-0.593299711,4
-2.664597686,-0.488521811,4
-0.85493188,-0.169986979,4
-3.286970787,-0.569002613,4
-2.57075538,-0.137288131,4
-7.349906333,-0.421493478,4
-5.198088446,0.252359895,4
-6.423116054,-0.156774523,4
-5.134888565,-0.157417682,4
-4.501784328,-0.078358709,4
-4.031426508,-1.883029133,4
-2.6871034,-1.649449538,4
1.021144732,-1.054034822,4
-0.291817315,-1.844786791,4
-0.827299077,-1.801782828,4
-1.702938269,-1.964125884,4
-1.678611324,-1.516185016,4
-0.723402331,-2.513891364,4
0.07527958,-2.085372952,4
-1.78549625,-1.90936678,4
-5.54935671,-0.952994652,4
-4.93223316,-1.142812323,4
-3.208017393,-0.160082084,4
-4.382486735,-1.224228602,4
-6.01210478,-0.805445153,4
-4.490901967,0.529807492,4
-3.237375612,-1.657544382,4
-2.473857015,-0.987823739,4
-3.329208493,-0.848354873,4
-6.510364505,-1.019793753,4
-6.237560659,-0.187217023,4
-5.582093257,0.206185463,4
-5.755848897,-0.10293023,4
-5.782774704,0.317418354,4
